Time,accX,accY,accZ,wx,wy,wz
0.0,28.0,-243.0,16758.0,51.0,-22.0,48.0
0.010000000000000009,24.0,-301.0,16748.0,41.0,-22.0,50.0
0.02001200000000014,12.0,-304.0,16762.0,47.0,-19.0,48.0
0.030008000000000035,41.0,-282.0,16740.0,43.0,-19.0,48.0
0.04000400000000015,12.0,-283.0,16740.0,49.0,-22.0,49.0
0.050000000000000044,44.0,-252.0,16722.0,45.0,-18.0,45.0
0.06000800000000006,19.0,-242.0,16749.0,48.0,-16.0,51.0
0.07000800000000007,12.0,-249.0,16740.0,48.0,-21.0,50.0
0.08000400000000019,78.0,-261.0,16745.0,45.0,-21.0,54.0
0.09000000000000008,24.0,-285.0,16744.0,46.0,-23.0,51.0
0.1000040000000002,20.0,-330.0,16718.0,45.0,-24.0,52.0
0.1100080000000001,53.0,-354.0,16775.0,51.0,-21.0,53.0
0.12000800000000011,22.0,-311.0,16766.0,47.0,-19.0,48.0
0.13000000000000012,41.0,-260.0,16742.0,49.0,-23.0,49.0
0.14000000000000012,46.0,-278.0,16784.0,51.0,-27.0,52.0
0.15000800000000014,10.0,-248.0,16775.0,47.0,-21.0,53.0
0.16000800000000015,24.0,-302.0,16783.0,40.0,-22.0,50.0
0.17000000000000015,39.0,-325.0,16746.0,44.0,-19.0,46.0
0.18000400000000005,40.0,-302.0,16729.0,44.0,-19.0,47.0
0.19001600000000018,65.0,-302.0,16757.0,43.0,-22.0,49.0
0.20000800000000019,41.0,-276.0,16761.0,45.0,-22.0,48.0
0.2100000000000002,71.0,-265.0,16753.0,46.0,-22.0,49.0
0.2200040000000001,26.0,-257.0,16745.0,46.0,-16.0,50.0
0.230008,67.0,-300.0,16757.0,42.0,-25.0,53.0
0.2400040000000001,32.0,-278.0,16756.0,42.0,-23.0,54.0
0.250008,6.0,-291.0,16780.0,48.0,-21.0,49.0
0.2599960000000001,35.0,-309.0,16762.0,48.0,-23.0,49.0
0.27000400000000013,65.0,-263.0,16719.0,42.0,-15.0,49.0
0.28000800000000003,65.0,-269.0,16747.0,44.0,-20.0,49.0
0.29000400000000015,30.0,-267.0,16738.0,45.0,-22.0,47.0
0.30000000000000004,20.0,-277.0,16751.0,48.0,-24.0,49.0
0.31000000000000005,4.0,-274.0,16760.0,50.0,-22.0,52.0
0.32000800000000007,25.0,-314.0,16731.0,48.0,-23.0,47.0
0.3300080000000001,24.0,-314.0,16745.0,43.0,-22.0,50.0
0.3400000000000001,6.0,-286.0,16717.0,44.0,-16.0,48.0
0.3500000000000001,37.0,-317.0,16777.0,47.0,-28.0,53.0
0.360004,13.0,-325.0,16767.0,50.0,-18.0,49.0
0.3700080000000001,7.0,-285.0,16771.0,46.0,-25.0,49.0
0.3800000000000001,18.0,-261.0,16741.0,42.0,-27.0,49.0
0.3900000000000001,11.0,-302.0,16738.0,44.0,-18.0,44.0
0.40000800000000014,-4.0,-294.0,16758.0,44.0,-23.0,48.0
0.41000800000000015,33.0,-303.0,16754.0,44.0,-15.0,44.0
0.42000800000000016,46.0,-304.0,16698.0,46.0,-20.0,45.0
0.42999600000000004,23.0,-255.0,16766.0,48.0,-20.0,48.0
0.44000000000000017,22.0,-274.0,16774.0,49.0,-19.0,45.0
0.4500080000000002,-13.0,-243.0,16745.0,45.0,-16.0,51.0
0.4600040000000001,-21.0,-288.0,16740.0,41.0,-20.0,51.0
0.4700000000000002,26.0,-303.0,16763.0,43.0,-20.0,51.0
0.4800040000000001,27.0,-288.0,16762.0,46.0,-20.0,52.0
0.4900120000000001,22.0,-306.0,16723.0,50.0,-24.0,48.0
0.500008,46.0,-277.0,16727.0,42.0,-20.0,52.0
0.51,31.0,-298.0,16779.0,49.0,-20.0,46.0
0.52,38.0,-261.0,16767.0,45.0,-19.0,52.0
0.530008,34.0,-274.0,16758.0,44.0,-23.0,51.0
0.5400040000000002,-14.0,-288.0,16741.0,42.0,-23.0,50.0
0.5500000000000003,19.0,-311.0,16748.0,45.0,-19.0,48.0
0.56,36.0,-313.0,16767.0,48.0,-21.0,50.0
0.5700080000000001,64.0,-310.0,16743.0,50.0,-22.0,50.0
0.5800080000000003,71.0,-236.0,16764.0,44.0,-20.0,56.0
0.5900080000000001,30.0,-289.0,16740.0,41.0,-21.0,47.0
0.6000040000000002,21.0,-277.0,16757.0,46.0,-21.0,50.0
0.6099999999999999,37.0,-270.0,16767.0,47.0,-22.0,53.0
0.6200040000000002,37.0,-278.0,16758.0,43.0,-15.0,48.0
0.6300080000000001,5.0,-322.0,16754.0,43.0,-19.0,46.0
0.6400000000000001,38.0,-255.0,16731.0,44.0,-19.0,45.0
0.6499999999999999,23.0,-294.0,16743.0,46.0,-19.0,51.0
0.660012,42.0,-278.0,16750.0,44.0,-23.0,48.0
0.6700080000000002,28.0,-273.0,16767.0,45.0,-25.0,50.0
0.6800000000000002,26.0,-269.0,16748.0,47.0,-22.0,51.0
0.69,56.0,-299.0,16702.0,47.0,-22.0,47.0
0.700008,54.0,-312.0,16737.0,41.0,-19.0,50.0
0.7100080000000002,31.0,-298.0,16763.0,46.0,-19.0,51.0
0.7200039999999999,29.0,-320.0,16758.0,44.0,-21.0,52.0
0.73,14.0,-288.0,16734.0,45.0,-23.0,52.0
0.7400039999999999,24.0,-280.0,16736.0,45.0,-21.0,47.0
0.7500080000000002,22.0,-267.0,16735.0,37.0,-19.0,47.0
0.760008,20.0,-303.0,16741.0,49.0,-23.0,50.0
0.77,45.0,-301.0,16755.0,41.0,-15.0,51.0
0.7800039999999999,3.0,-333.0,16757.0,49.0,-25.0,50.0
0.7900040000000002,34.0,-336.0,16723.0,44.0,-21.0,50.0
0.8000039999999999,36.0,-290.0,16776.0,44.0,-20.0,50.0
0.8100040000000002,23.0,-275.0,16751.0,44.0,-21.0,51.0
0.820004,2.0,-272.0,16748.0,44.0,-17.0,51.0
0.830012,33.0,-264.0,16753.0,43.0,-16.0,47.0
0.8400080000000001,23.0,-293.0,16780.0,43.0,-19.0,48.0
0.8500000000000001,0.0,-304.0,16740.0,47.0,-19.0,51.0
0.860004,2.0,-301.0,16753.0,49.0,-24.0,49.0
0.8700079999999999,12.0,-350.0,16738.0,45.0,-18.0,46.0
0.8800080000000001,62.0,-291.0,16749.0,47.0,-21.0,50.0
0.8900079999999999,44.0,-298.0,16736.0,49.0,-20.0,49.0
0.900004,27.0,-288.0,16742.0,44.0,-21.0,51.0
0.9100000000000001,16.0,-301.0,16771.0,46.0,-22.0,48.0
0.9200080000000002,5.0,-301.0,16718.0,45.0,-21.0,50.0
0.9300040000000003,13.0,-313.0,16757.0,43.0,-19.0,48.0
0.9400040000000001,41.0,-304.0,16770.0,43.0,-19.0,52.0
0.9500000000000002,55.0,-290.0,16734.0,51.0,-25.0,51.0
0.9600080000000002,26.0,-295.0,16752.0,45.0,-26.0,52.0
0.970008,-14.0,-263.0,16736.0,47.0,-18.0,53.0
0.9799959999999999,65.0,-278.0,16749.0,44.0,-12.0,52.0
0.9900039999999999,12.0,-279.0,16767.0,50.0,-22.0,48.0
1.0000080000000002,-3.0,-292.0,16763.0,39.0,-22.0,57.0
1.010004,11.0,-300.0,16770.0,47.0,-15.0,48.0
1.02,13.0,-288.0,16728.0,44.0,-16.0,50.0
1.0300000000000002,38.0,-282.0,16768.0,45.0,-22.0,49.0
1.0400080000000003,26.0,-271.0,16743.0,48.0,-22.0,52.0
1.050008,23.0,-296.0,16754.0,43.0,-19.0,52.0
1.0600079999999998,7.0,-294.0,16758.0,43.0,-19.0,53.0
1.0699999999999998,47.0,-301.0,16737.0,44.0,-20.0,54.0
1.08,23.0,-294.0,16760.0,43.0,-19.0,48.0
1.090004,6.0,-304.0,16744.0,39.0,-22.0,50.0
1.1000079999999999,39.0,-317.0,16738.0,44.0,-16.0,49.0
1.1099999999999999,64.0,-301.0,16760.0,46.0,-18.0,48.0
1.1200040000000002,16.0,-315.0,16756.0,46.0,-18.0,47.0
1.1300120000000002,10.0,-269.0,16764.0,46.0,-21.0,45.0
1.140008,-7.0,-281.0,16761.0,40.0,-21.0,47.0
1.15,18.0,-281.0,16776.0,47.0,-20.0,47.0
1.1600000000000001,42.0,-322.0,16747.0,43.0,-23.0,52.0
1.1700080000000002,-17.0,-312.0,16758.0,43.0,-18.0,47.0
1.1800040000000003,55.0,-268.0,16750.0,46.0,-21.0,44.0
1.19,16.0,-290.0,16777.0,41.0,-21.0,50.0
1.2000000000000002,3.0,-294.0,16757.0,48.0,-20.0,51.0
1.2100080000000002,14.0,-255.0,16777.0,46.0,-21.0,45.0
1.2200039999999999,57.0,-298.0,16723.0,45.0,-18.0,48.0
1.2300080000000002,11.0,-314.0,16752.0,47.0,-20.0,54.0
1.2400000000000002,46.0,-304.0,16767.0,43.0,-19.0,49.0
1.25,39.0,-297.0,16746.0,49.0,-17.0,46.0
1.260008,74.0,-297.0,16768.0,46.0,-23.0,48.0
