Time,accX,accY,accZ,wx,wy,wz
0.0,-301.0,210.0,8317.0,2.0,47.0,-25.0
0.010008000000000017,-327.0,193.0,8336.0,3.0,39.0,-24.0
0.020000000000000018,-347.0,195.0,8356.0,4.0,23.0,-25.0
0.030000000000000027,-347.0,194.0,8358.0,5.0,15.0,-20.0
0.04001600000000005,-349.0,206.0,8335.0,3.0,15.0,-21.0
0.05000399999999994,-358.0,189.0,8297.0,2.0,14.0,-21.0
0.06000000000000005,-350.0,177.0,8289.0,4.0,16.0,-23.0
0.06999999999999984,-372.0,173.0,8266.0,0.0,26.0,-28.0
0.08000399999999996,-370.0,183.0,8274.0,3.0,32.0,-23.0
0.09000799999999987,-372.0,175.0,8292.0,1.0,32.0,-17.0
0.10000399999999998,-352.0,190.0,8309.0,5.0,40.0,-19.0
0.10999999999999988,-355.0,193.0,8347.0,1.0,35.0,-26.0
0.11999999999999988,-331.0,205.0,8348.0,6.0,34.0,-22.0
0.1300079999999999,-347.0,198.0,8360.0,2.0,24.0,-23.0
0.1400079999999999,-321.0,197.0,8345.0,-1.0,21.0,-23.0
0.1499999999999999,-324.0,194.0,8317.0,0.0,9.0,-22.0
0.16000400000000004,-313.0,206.0,8280.0,9.0,14.0,-22.0
0.17000400000000004,-322.0,186.0,8272.0,8.0,22.0,-25.0
0.18000799999999995,-323.0,183.0,8257.0,1.0,33.0,-25.0
0.18999999999999995,-359.0,189.0,8276.0,-1.0,41.0,-26.0
0.20000399999999985,-341.0,187.0,8305.0,1.0,40.0,-23.0
0.21001199999999987,-360.0,172.0,8342.0,-3.0,43.0,-24.0
0.22000799999999998,-381.0,192.0,8358.0,1.0,41.0,-20.0
0.22999999999999998,-388.0,190.0,8366.0,7.0,21.0,-23.0
0.24000399999999988,-365.0,202.0,8360.0,0.0,11.0,-22.0
0.250008,-356.0,214.0,8327.0,12.0,14.0,-16.0
0.26,-363.0,206.0,8290.0,3.0,13.0,-23.0
0.270008,-348.0,195.0,8273.0,2.0,19.0,-25.0
0.2800039999999999,-338.0,181.0,8246.0,-2.0,29.0,-21.0
0.29000000000000004,-323.0,202.0,8253.0,4.0,38.0,-21.0
0.30000799999999983,-336.0,201.0,8278.0,6.0,40.0,-25.0
0.31000399999999995,-324.0,194.0,8319.0,3.0,42.0,-27.0
0.32000399999999996,-342.0,207.0,8354.0,1.0,41.0,-21.0
0.32999999999999985,-325.0,192.0,8358.0,3.0,28.0,-22.0
0.34000799999999987,-349.0,201.0,8354.0,1.0,20.0,-22.0
0.3500079999999999,-357.0,185.0,8337.0,1.0,18.0,-24.0
0.359996,-358.0,209.0,8311.0,8.0,15.0,-23.0
0.370004,-351.0,205.0,8274.0,4.0,14.0,-25.0
0.3800079999999999,-349.0,193.0,8264.0,3.0,23.0,-20.0
0.3900079999999999,-336.0,175.0,8250.0,0.0,29.0,-21.0
0.400004,-348.0,185.0,8284.0,2.0,35.0,-24.0
0.4099999999999999,-352.0,167.0,8311.0,2.0,46.0,-21.0
0.42000400000000004,-357.0,205.0,8337.0,-2.0,46.0,-27.0
0.43000799999999995,-358.0,186.0,8363.0,1.0,33.0,-20.0
0.44000799999999995,-352.0,193.0,8374.0,8.0,22.0,-26.0
0.44999999999999996,-338.0,199.0,8336.0,8.0,14.0,-22.0
0.45999999999999996,-347.0,188.0,8305.0,1.0,17.0,-23.0
0.470008,-349.0,197.0,8283.0,2.0,15.0,-26.0
0.480008,-329.0,192.0,8277.0,1.0,22.0,-18.0
0.49,-338.0,181.0,8266.0,8.0,27.0,-22.0
0.5,-337.0,185.0,8275.0,8.0,37.0,-21.0
0.5100119999999999,-346.0,193.0,8305.0,2.0,44.0,-24.0
0.520008,-367.0,191.0,8341.0,0.0,40.0,-23.0
0.53,-368.0,189.0,8362.0,7.0,34.0,-21.0
0.54,-359.0,204.0,8358.0,3.0,22.0,-21.0
0.5500039999999999,-364.0,190.0,8354.0,3.0,18.0,-22.0
0.560004,-336.0,190.0,8322.0,2.0,16.0,-27.0
0.5699999999999998,-355.0,176.0,8284.0,3.0,11.0,-21.0
0.5799999999999998,-327.0,183.0,8272.0,2.0,18.0,-20.0
0.590004,-335.0,199.0,8255.0,8.0,30.0,-21.0
0.6000079999999999,-317.0,182.0,8264.0,-3.0,36.0,-23.0
0.6100080000000001,-339.0,178.0,8304.0,4.0,37.0,-25.0
0.6200039999999998,-351.0,186.0,8317.0,1.0,40.0,-24.0
0.6299999999999999,-345.0,191.0,8342.0,2.0,37.0,-22.0
0.6400079999999999,-361.0,202.0,8357.0,-1.0,28.0,-22.0
0.6500080000000001,-370.0,196.0,8371.0,3.0,22.0,-23.0
0.6600039999999998,-358.0,190.0,8334.0,5.0,9.0,-25.0
0.6699999999999999,-371.0,177.0,8303.0,5.0,15.0,-23.0
0.6800120000000001,-354.0,203.0,8284.0,5.0,12.0,-26.0
0.6900079999999997,-343.0,175.0,8262.0,2.0,20.0,-19.0
0.7000039999999998,-339.0,197.0,8260.0,5.0,33.0,-22.0
0.71,-373.0,198.0,8264.0,-1.0,42.0,-16.0
0.7200039999999999,-368.0,196.0,8306.0,6.0,42.0,-20.0
0.7300079999999998,-372.0,197.0,8328.0,2.0,40.0,-19.0
0.7400039999999999,-369.0,202.0,8371.0,-2.0,28.0,-24.0
0.7499959999999999,-359.0,202.0,8361.0,0.0,20.0,-26.0
0.760008,-355.0,173.0,8355.0,7.0,20.0,-22.0
0.7700079999999998,-339.0,183.0,8326.0,1.0,16.0,-23.0
